"Genre" "name"
"Ecclinusa_Indet." "Ecclinusa" "Ecclinusa_Indet."
"Lecythis_zabucajo" "Lecythis" "Lecythis_zabucajo"
"Pouteria_jariensis" "Pouteria" "Pouteria_jariensis"
"Tovomita_sp.5CAY-ATDN" "Tovomita" "Tovomita_sp.5CAY-ATDN"
"Trymatococcus_oligandrus" "Trymatococcus" "Trymatococcus_oligandrus"
"Garcinia_Indet." "Garcinia" "Garcinia_Indet."
"Eperua_grandiflora" "Eperua" "Eperua_grandiflora"
"Brosimum_rubescens" "Brosimum" "Brosimum_rubescens"
"Talisia_Indet." "Talisia" "Talisia_Indet."
"Matayba_guianensis" "Matayba" "Matayba_guianensis"
"Thyrsodium_spruceanum" "Thyrsodium" "Thyrsodium_spruceanum"
"Pouteria_cicatricata" "Pouteria" "Pouteria_cicatricata"
"Lacunaria_jenmanii" "Lacunaria" "Lacunaria_jenmanii"
"Parahancornia_fasciculata" "Parahancornia" "Parahancornia_fasciculata"
"Licaria_martiniana" "Licaria" "Licaria_martiniana"
"Protium_subserratum" "Protium" "Protium_subserratum"
"Aniba_taubertiana" "Aniba" "Aniba_taubertiana"
"Siparuna_decipiens" "Siparuna" "Siparuna_decipiens"
"Rinorea_flavescens" "Rinorea" "Rinorea_flavescens"
"Cecropia_obtusa" "Cecropia" "Cecropia_obtusa"
"Simaba_polyphylla" "Simaba" "Simaba_polyphylla"
"Ocotea_percurrens" "Ocotea" "Ocotea_percurrens"
"Quiina_obovata" "Quiina" "Quiina_obovata"
"Eugenia_albicans" "Eugenia" "Eugenia_albicans"
"Peltogyne_sp.2CAY-ATDN" "Peltogyne" "Peltogyne_sp.2CAY-ATDN"
"Ferdinandusa_paraensis" "Ferdinandusa" "Ferdinandusa_paraensis"
"Hirtella_glandulosa" "Hirtella" "Hirtella_glandulosa"
"Eugenia_anastomosans" "Eugenia" "Eugenia_anastomosans"
"Laetia_procera" "Laetia" "Laetia_procera"
"Alchornea_triplinervia" "Alchornea" "Alchornea_triplinervia"
"Pseudolmedia_laevis" "Pseudolmedia" "Pseudolmedia_laevis"
"Parinari_Indet." "Parinari" "Parinari_Indet."
"Licaria_chrysophylla" "Licaria" "Licaria_chrysophylla"
"Inga_sarmentosa" "Inga" "Inga_sarmentosa"
"Pourouma_Indet." "Pourouma" "Pourouma_Indet."
"Trattinnickia_rhoifolia" "Trattinnickia" "Trattinnickia_rhoifolia"
"Sagotia_racemosa" "Sagotia" "Sagotia_racemosa"
"Protium_decandrum" "Protium" "Protium_decandrum"
"Ormosia_paraensis" "Ormosia" "Ormosia_paraensis"
"Ocotea_argyrophylla" "Ocotea" "Ocotea_argyrophylla"
"Casearia_javitensis" "Casearia" "Casearia_javitensis"
"Swartzia_Indet." "Swartzia" "Swartzia_Indet."
"Votomita_guianensis" "Votomita" "Votomita_guianensis"
"Dialium_guianense" "Dialium" "Dialium_guianense"
"Protium_plagiocarpium" "Protium" "Protium_plagiocarpium"
"Aniba_citrifolia" "Aniba" "Aniba_citrifolia"
"Thyrsodium_puberulum" "Thyrsodium" "Thyrsodium_puberulum"
"Cheiloclinium_cognatum" "Cheiloclinium" "Cheiloclinium_cognatum"
"Perebea_rubra" "Perebea" "Perebea_rubra"
"Couratari_guianensis" "Couratari" "Couratari_guianensis"
"Sloanea_laxiflora" "Sloanea" "Sloanea_laxiflora"
"Ficus_piresiana" "Ficus" "Ficus_piresiana"
"Discophora_guianensis" "Discophora" "Discophora_guianensis"
"Neea_Indet." "Neea" "Neea_Indet."
"Enterolobium_Indet." "Enterolobium" "Enterolobium_Indet."
