idTaxon,Famille,Genre,espece
3546,Burseraceae,Protium,opacum
3546,Linaceae,Hebepetalum,humiriifolium
3253,Fabaceae,Andira,coriacea
3255,Fabaceae,Ormosia,coutinhoi
3264,Fabaceae,Paramachaerium,ormosioides
3312,Fabaceae,Vataireopsis,surinamensis
3348,Salicaceae,Casearia,pitumba
3546,Chrysobalanaceae,Licania,alba
3546,Indet.,Indet.Indet.,Indet.
3551,Humiriaceae,Humiria,balsamifera
3648,Lauraceae,Aniba,citrifolia
3651,Lauraceae,Aniba,hostmanniana
3656,Lauraceae,Aniba,panurensis
3689,Lauraceae,Licaria,chrysophylla
3691,Lauraceae,Licaria,guianensis
3729,Lauraceae,Ocotea,floribunda
3729,Lauraceae,Ocotea,oblonga
3743,Lauraceae,Ocotea,puberula
3752,Lauraceae,Ocotea,tomentella
3782,Lecythidaceae,Eschweilera,sagotiana
3789,Lecythidaceae,Eschweilera,parviflora
3791,Lecythidaceae,Eschweilera,sagotiana
3802,Lecythidaceae,Gustavia,hexapetala
3812,Indet.,Indet.Indet.,Indet.
3812,Lecythidaceae,Lecythis,idatimon
3812,Lecythidaceae,Lecythis,persistens
4016,Malpighiaceae,Byrsonima,laevigata
4345,Melastomataceae,Henriettea,succosa
4348,Indet.,Indet.Indet.,Indet.
4348,Melastomataceae,Miconia,tschudyoides
4371,Melastomataceae,Loreya,mespiloides
4459,Melastomataceae,Miconia,mirabilis
4471,Melastomataceae,Miconia,prasina
4565,Melastomataceae,Votomita,guianensis
4569,Meliaceae,Carapa,guianensis
4571,Meliaceae,Cedrela,odorata
4577,Meliaceae,Guarea,pubescens
4578,Meliaceae,Guarea,guidonia
4592,Meliaceae,Trichilia,euneura
4597,Meliaceae,Trichilia,micrantha
4602,Meliaceae,Trichilia,quadrijuga
4604,Burseraceae,Tetragastris,altissima
4605,Meliaceae,Trichilia,septentrionalis
4663,Fabaceae,Abarema,jupunba
4703,Fabaceae,Enterolobium,oldemanii
4717,Fabaceae,Inga,capitata
4718,Fabaceae,Inga,cayennensis
4720,Fabaceae,Inga,crassiflora
4723,Fabaceae,Inga,edulis
4724,Fabaceae,Inga,fanchoniana
4727,Fabaceae,Inga,graciliflora
4736,Fabaceae,Inga,loubryana
4738,Fabaceae,Inga,lomatophylla
4742,Fabaceae,Inga,nobilis
4745,Fabaceae,Inga,paraensis
4747,Fabaceae,Inga,pezizifera
4755,Fabaceae,Inga,sertulifera
4760,Fabaceae,Inga,thibaudiana
4762,Fabaceae,Inga,umbellifera
4806,Fabaceae,Parkia,velutina
4823,Fabaceae,Stryphnodendron,polystachyum
4839,Fabaceae,Zygia,tetragona
4871,Moraceae,Ficus,amazonica
4915,Moraceae,Naucleopsis,guianensis
4927,Moraceae,Brosimum,rubescens
4938,Myristicaceae,Iryanthera,Indet.
4944,Myristicaceae,Virola,michelii
5099,Myrtaceae,Myrcia,amazonica
5103,Salicaceae,Casearia,commersoniana
5203,Ochnaceae,Elvasia,elvasioides
5219,Ochnaceae,Ouratea,decagyna
5228,Ochnaceae,Ouratea,guianensis
5290,Olacaceae,Minquartia,guianensis
6761,Proteaceae,Euplassa,pinnata
